id;authors;title;language_code;average_rating;ratings_count;work_ratings_count;work_text_reviews_count
186;Philippa Gregory;The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9);eng;4.04;381080;399223;15846
187;Scott Westerfeld;Uglies (Uglies, #1);eng;3.86;449073;464589;21234
188;George R.R. Martin;A Dance with Dragons (A Song of Ice and Fire, #5);eng;4.31;365954;424618;20072
189;J.R.R. Tolkien;The Lord of the Rings (The Lord of the Rings, #1-3);eng;4.47;389054;436346;9365
190;Cheryl Strayed;Wild: From Lost to Found on the Pacific Crest Trail;eng;3.96;379872;420903;34444
191;Alan Moore, Dave Gibbons, John Higgins;Watchmen;en-US;4.35;398018;409323;10851
192;Patrick Rothfuss;The Name of the Wind (The Kingkiller Chronicle, #1);eng;4.55;400101;449372;28631
193;Malcolm Gladwell;Outliers: The Story of Success;en-US;4.11;353011;369126;19383
194;Herman Melville, Andrew Delbanco, Tom Quirk;;;;;;
195;Mary Ann Shaffer, Annie Barrows;The Guernsey Literary and Potato Peel Pie Society;eng;4.12;393626;423672;39853
196;Chuck Palahniuk;Fight Club;eng;4.2;365349;388654;11176
197;Charlaine Harris;Dead Until Dark (Sookie Stackhouse, #1);en-US;3.96;420764;444824;16818
198;Alice Walker;The Color Purple;eng;4.17;376766;400965;9485
199;John Grogan;Marley and Me: Life and Love With the World's Worst Dog;eng;4.12;367304;379348;13407
200;Agatha Christie;And Then There Were None;eng;4.23;408983;456680;17264
201;Dan Brown;The Lost Symbol (Robert Langdon, #3);eng;3.66;369428;404982;24199
202;Becca Fitzpatrick;Hush, Hush (Hush, Hush, #1);en-US;4.0;448166;461802;21871
203;Jamie McGuire;Beautiful Disaster (Beautiful, #1);eng;4.15;418309;442696;25298
204;Charles Dickens;A Christmas Carol;;4.02;394540;441396;11568
205;Anne Rice;Interview with the Vampire (The Vampire Chronicles, #1);eng;3.97;372566;393941;7951
206;Kiera Cass;The Selection (The Selection, #1);en-US;4.15;505340;539091;35681
207;Janet Evanovich;One for the Money (Stephanie Plum, #1);en-US;4.03;391007;403315;13050
208;Rebecca Skloot;The Immortal Life of Henrietta Lacks;eng;4.04;377249;404440;28624
209;Thomas Harris;The Silence of the Lambs  (Hannibal Lecter, #2);eng;4.14;351107;366112;3866
210;Richelle Mead;Vampire Academy (Vampire Academy, #1);en-US;4.14;248283;455151;19720
211;Malcolm Gladwell;Blink: The Power of Thinking Without Thinking;en-US;3.89;348196;360338;12215
212;Ian McEwan;Atonement;eng;3.88;347006;365658;14815
213;Franz Kafka, Stanley Corngold;The Metamorphosis;eng;3.78;364933;414533;10252
214;Rick Riordan;The Titan's Curse (Percy Jackson and the Olympians, #3);eng;4.33;446668;486262;15418
215;Ernest Cline;Ready Player One;eng;4.31;349423;421819;52120
216;Garth Stein;The Art of Racing in the Rain;eng;4.19;327409;354319;32021
217;Erik Larson, Tony Goldwyn;The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America;eng;3.98;309385;350607;25846
218;Sylvia Day;Bared to You (Crossfire, #1);eng;4.19;222678;386136;16748
219;C.S. Lewis, Pauline Baynes;The Chronicles of Narnia (Chronicles of Narnia, #1-7);eng;4.24;376385;401676;8871
220;Mark Cotta Vaz;Twilight: The Complete Illustrated Movie Companion;en-US;4.23;291411;291899;532
221;Dave Pelzer;"A Child Called ""It"" (Dave Pelzer #1)";eng;4.08;311543;321298;13729
222;Robert Ludlum;The Bourne Identity (Jason Bourne, #1);eng;3.98;327122;336212;3899
223;Eoin Colfer;Artemis Fowl (Artemis Fowl, #1);eng;3.82;386923;399165;8384
224;Lauren Kate;Fallen (Fallen, #1);en-US;3.74;395296;408108;17725
225;John Steinbeck;East of Eden;eng;4.35;320919;336682;14454
226;Gillian Flynn;Dark Places;eng;3.92;333452;386607;28784
227;John Grisham;The Client;eng;3.97;320083;325663;1917
228;Emma McLaughlin, Nicola Kraus;The Nanny Diaries (Nanny, #1);eng;3.4;323762;328073;5121
229;Lewis Carroll, John Tenniel, Martin Gardner;Alice's Adventures in Wonderland & Through the Looking-Glass;eng;4.06;340920;377190;7736
230;Jane Austen, James Kinsley, Deidre Shauna Lynch;Persuasion;eng;4.13;365425;402359;13117
231;Tatiana de Rosnay;Sarah's Key;eng;4.14;312444;347631;26614
232;Stephen King;The Gunslinger (The Dark Tower, #1);en-US;3.99;332494;366377;13014
233;Gabriel GarcÃ­a MÃ¡rquez, Edith Grossman;Love in the Time of Cholera;eng;3.89;283806;323461;15246
234;Laurie Halse Anderson;Speak;eng;4.0;360156;372404;18379
235;Liane Moriarty;The Husband's Secret;eng;3.92;232106;351805;27610
236;Jon Krakauer;Into Thin Air: A Personal Account of the Mount Everest Disaster;en-US;4.11;291258;301593;10439
237;Stephen King;Carrie;;3.93;356814;377650;8264
238;Augusten Burroughs;Running with Scissors;en-US;3.7;293878;306388;11601
239;Max Brooks;World War Z: An Oral History of the Zombie War;en-US;4.01;312969;345149;22412
240;Dan Brown;Inferno (Robert Langdon, #4);eng;3.8;287533;345560;33700
241;Lois Lowry;Number the Stars;eng;4.11;333638;342365;10304
242;James Patterson;Along Came a Spider (Alex Cross, #1);eng;4.08;311499;318031;3600
243;Stephen King;Misery;en-GB;4.11;334647;352203;6416
244;Gillian Flynn;Sharp Objects;en-US;3.92;207889;354838;28268
245;Katherine Paterson;Bridge to Terabithia;eng;3.98;337644;353474;9270
246;P.C. Cast, Kristin Cast;Marked (House of Night, #1);en-US;3.79;360044;371020;12870
247;Stephen R. Covey;The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change;en-US;4.05;314700;333884;6148
248;William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey;A Midsummer Night's Dream;eng;3.94;334241;361510;5724
249;Jonathan Safran Foer;Extremely Loud and Incredibly Close;en-US;3.97;294726;319116;21107
250;R.J. Palacio;Wonder;eng;4.43;228538;377791;43021
251;Dr. Seuss;The Cat in the Hat;eng;4.15;314016;317182;4299
252;Marissa Meyer;Cinder (The Lunar Chronicles, #1);eng;4.15;427663;454146;41109
253;Robert Galbraith, J.K. Rowling;The Cuckoo's Calling (Cormoran Strike, #1);en-US;3.83;297712;340495;27258
254;Maggie Stiefvater;Shiver (The Wolves of Mercy Falls, #1);eng;3.78;356625;370811;20521
255;Ayn Rand, Leonard Peikoff;Atlas Shrugged;eng;3.68;283295;296645;14666
256;Greg Mortenson, David Oliver Relin;Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time;en-US;3.64;283516;288520;21681
257;Jane Carruth, Lewis Carroll, Rene Cloke;Alice in Wonderland;eng;4.03;343252;343271;4876
258;Carlos Ruiz ZafÃ³n, Lucia Graves;The Shadow of the Wind (The Cemetery of Forgotten Books,  #1);eng;4.24;263685;317554;24652
259;James Dashner;The Scorch Trials (Maze Runner, #2);eng;3.93;305643;346307;23058
260;Dale Carnegie;How to Win Friends and Influence People;eng;4.13;282623;305437;7909
261;Frances Mayes;Under the Tuscan Sun;eng;3.72;279264;281836;3074
262;Liane Moriarty;Big Little Lies;eng;4.2;306186;371433;30120
263;Gail Carson Levine;Ella Enchanted;eng;3.97;339117;345749;8534
264;Ernest Hemingway;The Sun Also Rises;en-US;3.83;284988;303117;9826
265;Betty  Smith;A Tree Grows in Brooklyn;eng;4.24;291909;309000;16088
266;James Patterson;Kiss the Girls (Alex Cross, #2);eng;3.93;274639;279116;2798
267;Kristin Hannah;The Nightingale;eng;4.54;253606;327015;37279
268;Kazuo Ishiguro;Never Let Me Go;eng;3.8;294123;323627;21927
269;Cecelia Ahern;P.S. I Love You;en-US;4.01;262921;283413;7069
270;Daphne du Maurier, Sally Beauman;Rebecca;en-US;4.2;177384;329596;14920
271;Daniel Keyes;Flowers for Algernon;en-US;4.07;313044;336199;11328
272;Laura Esquivel, Thomas  Christensen, Carol Christensen;Like Water for Chocolate;en-US;3.94;263199;285469;6559
273;Lisa See;Snow Flower and the Secret Fan;eng;4.05;280475;290660;15807
274;Mario Puzo, Robert Thompson, Peter Bart;The Godfather;eng;4.36;256480;270386;5832
275;John Green;An Abundance of Katherines;eng;3.63;312754;347424;20657
276;Isaac Asimov;Foundation (Foundation #1);eng;4.13;279688;297588;6240
277;Neil Gaiman;The Ocean at the End of the Lane;eng;3.99;293844;336251;37655
278;Shel Silverstein;A Light in the Attic;eng;4.34;297861;304514;2431
279;John Tiffany, Jack Thorne, J.K. Rowling;Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8);eng;3.75;270603;397773;53365
280;Lauren Oliver;Delirium (Delirium, #1);eng;3.99;256975;352398;24271
281;John Grisham;The Pelican Brief;eng;3.95;288376;296168;2006
282;Neil Gaiman;Coraline;eng;4.03;316379;343630;13905
283;Terry Pratchett, Neil Gaiman;Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch;en-US;4.25;298304;326373;13914
284;Jack Kerouac;On the Road;eng;3.64;246602;277884;12011
285;Graeme Simsion;The Rosie Project (Don Tillman, #1);eng;4.01;251703;305509;31155
286;Nicholas Sparks;The Lucky One;en-US;4.1;267166;281323;9476
287;Ayn Rand, Leonard Peikoff;The Fountainhead;eng;3.85;244545;254976;10198
288;Tom Clancy;The Hunt for Red October (Jack Ryan Universe, #4);;4.01;270318;278255;2117
289;Richard Adams;Watership Down (Watership Down, #1);eng;4.05;292426;308373;10399
290;Mindy Kaling;Is Everyone Hanging Out Without Me? (And Other Concerns);eng;3.84;290674;312931;19397
291;Abraham Verghese;Cutting for Stone;eng;4.28;258319;281079;23146
292;C.S. Lewis, Pauline Baynes;The Voyage of the Dawn Treader (Chronicles of Narnia, #3);eng;4.08;306492;325264;4620
293;Robert Louis Stevenson;Treasure Island;eng;3.82;268012;310515;7917
294;Rick Riordan;The Son of Neptune (The Heroes of Olympus, #2);eng;4.44;299980;316800;12270
295;Stephen King;11/22/63;eng;4.29;258464;303057;30656
296;Eric Carle;The Very Hungry Caterpillar Board Book;eng;4.29;296952;304528;5760
297;Kurt Vonnegut Jr.;Cat's Cradle;eng;4.18;238940;274153;8050
298;H.G. Wells, Greg Bear, Carlo Pagetti;The Time Machine;eng;3.87;276076;303730;7353
299;Todd Burpo, Lynn Vincent;Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back;eng;4.01;228371;243018;14378
300;John Boyne;The Boy in the Striped Pajamas;eng;4.1;285692;325401;19058
301;Joseph Conrad;Heart of Darkness;eng;3.42;255576;308391;9791
302;Nicholas Sparks;Safe Haven;eng;4.19;255531;274974;12769
303;Rhonda Byrne;The Secret (The Secret, #1);eng;3.62;241537;250945;9663
304;Wally Lamb;I Know This Much Is True;eng;4.17;246917;257608;7775
305;Stephen King;Pet Sematary;eng;3.91;256383;293753;5430
306;Wally Lamb;She's Come Undone;en-US;3.84;259576;268924;9090
307;Patrick Rothfuss;The Wise Man's Fear (The Kingkiller Chronicle, #2);eng;4.57;245686;282349;15503
308;Sophie Kinsella;Can You Keep a Secret?;en-US;3.83;278747;293801;9510
